prefecture,designated_cities,city
茨城県,,水戸市
茨城県,,日立市
茨城県,,土浦市
茨城県,,古河市
茨城県,,石岡市
茨城県,,結城市
茨城県,,龍ケ崎市
茨城県,,下妻市
茨城県,,常総市
茨城県,,常陸太田市
茨城県,,高萩市
茨城県,,北茨城市
茨城県,,笠間市
茨城県,,取手市
茨城県,,牛久市
茨城県,,つくば市
茨城県,,ひたちなか市
茨城県,,鹿嶋市
茨城県,,潮来市
茨城県,,守谷市
茨城県,,常陸大宮市
茨城県,,那珂市
茨城県,,筑西市
茨城県,,坂東市
茨城県,,稲敷市
茨城県,,かすみがうら市
茨城県,,桜川市
茨城県,,神栖市
茨城県,,行方市
茨城県,,鉾田市
茨城県,,つくばみらい市
茨城県,,小美玉市
茨城県,東茨城郡,
茨城県,東茨城郡,茨城町
茨城県,東茨城郡,大洗町
茨城県,東茨城郡,城里町
茨城県,那珂郡,
茨城県,那珂郡,東海村
茨城県,久慈郡,
茨城県,久慈郡,大子町
茨城県,稲敷郡,
茨城県,稲敷郡,美浦村
茨城県,稲敷郡,阿見町
茨城県,稲敷郡,河内町
茨城県,結城郡,
茨城県,結城郡,八千代町
茨城県,猿島郡,
茨城県,猿島郡,五霞町
茨城県,猿島郡,境町
茨城県,北相馬郡,
茨城県,北相馬郡,利根町
栃木県,,宇都宮市
栃木県,,足利市
栃木県,,栃木市
栃木県,,佐野市
栃木県,,鹿沼市
栃木県,,日光市
栃木県,,小山市
栃木県,,真岡市
栃木県,,大田原市
栃木県,,矢板市
栃木県,,那須塩原市
栃木県,,さくら市
栃木県,,那須烏山市
栃木県,,下野市
栃木県,河内郡,
栃木県,河内郡,上三川町
栃木県,芳賀郡,
栃木県,芳賀郡,益子町
栃木県,芳賀郡,茂木町
栃木県,芳賀郡,市貝町
栃木県,芳賀郡,芳賀町
栃木県,下都賀郡,
栃木県,下都賀郡,壬生町
栃木県,下都賀郡,野木町
栃木県,塩谷郡,
栃木県,塩谷郡,塩谷町
栃木県,塩谷郡,高根沢町
栃木県,那須郡,
栃木県,那須郡,那須町
栃木県,那須郡,那珂川町
群馬県,,前橋市
群馬県,,高崎市
群馬県,,桐生市
群馬県,,伊勢崎市
群馬県,,太田市
群馬県,,沼田市
群馬県,,館林市
群馬県,,渋川市
群馬県,,藤岡市
群馬県,,富岡市
群馬県,,安中市
群馬県,,みどり市
群馬県,北群馬郡,
群馬県,北群馬郡,榛東村
群馬県,北群馬郡,吉岡町
群馬県,多野郡,
群馬県,多野郡,上野村
群馬県,多野郡,神流町
群馬県,甘楽郡,
群馬県,甘楽郡,下仁田町
群馬県,甘楽郡,南牧村
群馬県,甘楽郡,甘楽町
群馬県,吾妻郡,
群馬県,吾妻郡,中之条町
群馬県,吾妻郡,長野原町
群馬県,吾妻郡,嬬恋村
群馬県,吾妻郡,草津町
群馬県,吾妻郡,高山村
群馬県,吾妻郡,東吾妻町
群馬県,利根郡,
群馬県,利根郡,片品村
群馬県,利根郡,川場村
群馬県,利根郡,昭和村
群馬県,利根郡,みなかみ町
群馬県,佐波郡,
群馬県,佐波郡,玉村町
群馬県,邑楽郡,
群馬県,邑楽郡,板倉町
群馬県,邑楽郡,明和町
群馬県,邑楽郡,千代田町
群馬県,邑楽郡,大泉町
群馬県,邑楽郡,邑楽町
埼玉県,さいたま市,
埼玉県,さいたま市,西区
埼玉県,さいたま市,北区
埼玉県,さいたま市,大宮区
埼玉県,さいたま市,見沼区
埼玉県,さいたま市,中央区
埼玉県,さいたま市,桜区
埼玉県,さいたま市,浦和区
埼玉県,さいたま市,南区
埼玉県,さいたま市,緑区
埼玉県,さいたま市,岩槻区
埼玉県,,川越市
埼玉県,,熊谷市
埼玉県,,川口市
埼玉県,,行田市
埼玉県,,秩父市
埼玉県,,所沢市
埼玉県,,飯能市
埼玉県,,加須市
埼玉県,,本庄市
埼玉県,,東松山市
埼玉県,,春日部市
埼玉県,,狭山市
埼玉県,,羽生市
埼玉県,,鴻巣市
埼玉県,,深谷市
埼玉県,,上尾市
埼玉県,,草加市
埼玉県,,越谷市
埼玉県,,蕨市
埼玉県,,戸田市
埼玉県,,入間市
埼玉県,,朝霞市
埼玉県,,志木市
埼玉県,,和光市
埼玉県,,新座市
埼玉県,,桶川市
埼玉県,,久喜市
埼玉県,,北本市
埼玉県,,八潮市
埼玉県,,富士見市
埼玉県,,三郷市
埼玉県,,蓮田市
埼玉県,,坂戸市
埼玉県,,幸手市
埼玉県,,鶴ヶ島市
埼玉県,,日高市
埼玉県,,吉川市
埼玉県,,ふじみ野市
埼玉県,,白岡市
埼玉県,北足立郡,
埼玉県,北足立郡,伊奈町
埼玉県,入間郡,
埼玉県,入間郡,三芳町
埼玉県,入間郡,毛呂山町
埼玉県,入間郡,越生町
埼玉県,比企郡,
埼玉県,比企郡,滑川町
埼玉県,比企郡,嵐山町
埼玉県,比企郡,小川町
埼玉県,比企郡,川島町
埼玉県,比企郡,吉見町
埼玉県,比企郡,鳩山町
埼玉県,比企郡,ときがわ町
埼玉県,秩父郡,
埼玉県,秩父郡,横瀬町
埼玉県,秩父郡,皆野町
埼玉県,秩父郡,長瀞町
埼玉県,秩父郡,小鹿野町
埼玉県,秩父郡,東秩父村
埼玉県,児玉郡,
埼玉県,児玉郡,美里町
埼玉県,児玉郡,神川町
埼玉県,児玉郡,上里町
埼玉県,大里郡,
埼玉県,大里郡,寄居町
埼玉県,南埼玉郡,
埼玉県,南埼玉郡,宮代町
埼玉県,北葛飾郡,
埼玉県,北葛飾郡,杉戸町
埼玉県,北葛飾郡,松伏町
千葉県,千葉市,
千葉県,千葉市,中央区
千葉県,千葉市,花見川区
千葉県,千葉市,稲毛区
千葉県,千葉市,若葉区
千葉県,千葉市,緑区
千葉県,千葉市,美浜区
千葉県,,銚子市
千葉県,,市川市
千葉県,,船橋市
千葉県,,館山市
千葉県,,木更津市
千葉県,,松戸市
千葉県,,野田市
千葉県,,茂原市
千葉県,,成田市
千葉県,,佐倉市
千葉県,,東金市
千葉県,,旭市
千葉県,,習志野市
千葉県,,柏市
千葉県,,勝浦市
千葉県,,市原市
千葉県,,流山市
千葉県,,八千代市
千葉県,,我孫子市
千葉県,,鴨川市
千葉県,,鎌ケ谷市
千葉県,,君津市
千葉県,,富津市
千葉県,,浦安市
千葉県,,四街道市
千葉県,,袖ケ浦市
千葉県,,八街市
千葉県,,印西市
千葉県,,白井市
千葉県,,富里市
千葉県,,南房総市
千葉県,,匝瑳市
千葉県,,香取市
千葉県,,山武市
千葉県,,いすみ市
千葉県,,大網白里市
千葉県,印旛郡,
千葉県,印旛郡,酒々井町
千葉県,印旛郡,栄町
千葉県,香取郡,
千葉県,香取郡,神崎町
千葉県,香取郡,多古町
千葉県,香取郡,東庄町
千葉県,山武郡,
千葉県,山武郡,九十九里町
千葉県,山武郡,芝山町
千葉県,山武郡,横芝光町
千葉県,長生郡,
千葉県,長生郡,一宮町
千葉県,長生郡,睦沢町
千葉県,長生郡,長生村
千葉県,長生郡,白子町
千葉県,長生郡,長柄町
千葉県,長生郡,長南町
千葉県,夷隅郡,
千葉県,夷隅郡,大多喜町
千葉県,夷隅郡,御宿町
千葉県,安房郡,
千葉県,安房郡,鋸南町
東京都,,千代田区
東京都,,中央区
東京都,,港区
東京都,,新宿区
東京都,,文京区
東京都,,台東区
東京都,,墨田区
東京都,,江東区
東京都,,品川区
東京都,,目黒区
東京都,,大田区
東京都,,世田谷区
東京都,,渋谷区
東京都,,中野区
東京都,,杉並区
東京都,,豊島区
東京都,,北区
東京都,,荒川区
東京都,,板橋区
東京都,,練馬区
東京都,,足立区
東京都,,葛飾区
東京都,,江戸川区
東京都,,八王子市
東京都,,立川市
東京都,,武蔵野市
東京都,,三鷹市
東京都,,青梅市
東京都,,府中市
東京都,,昭島市
東京都,,調布市
東京都,,町田市
東京都,,小金井市
東京都,,小平市
東京都,,日野市
東京都,,東村山市
東京都,,国分寺市
東京都,,国立市
東京都,,福生市
東京都,,狛江市
東京都,,東大和市
東京都,,清瀬市
東京都,,東久留米市
東京都,,武蔵村山市
東京都,,多摩市
東京都,,稲城市
東京都,,羽村市
東京都,,あきる野市
東京都,,西東京市
東京都,西多摩郡,
東京都,西多摩郡,瑞穂町
東京都,西多摩郡,日の出町
東京都,西多摩郡,檜原村
東京都,西多摩郡,奥多摩町
東京都,大島支庁,
東京都,大島支庁,大島町
東京都,大島支庁,利島村
東京都,大島支庁,新島村
東京都,大島支庁,神津島村
東京都,三宅支庁,
